"Country or Area Code";"Country or Area";"Year";"Value";"Value Footnotes"
"BDI";"Burundi";"1998";"42.3";"1"
"BDI";"Burundi";"1992";"33.3";"2"
"CIV";"C̫te d'Ivoire";"2015";"41.5";"1"
"CIV";"C̫te d'Ivoire";"2008";"43.2";"1"
"CIV";"C̫te d'Ivoire";"2002";"41.3";"1"
"CIV";"C̫te d'Ivoire";"1998";"39";"1"
"CIV";"C̫te d'Ivoire";"1995";"40.6";"1"
"CIV";"C̫te d'Ivoire";"1992";"39.4";"1"
"CIV";"C̫te d'Ivoire";"1988";"36.9";"1"
"CIV";"C̫te d'Ivoire";"1987";"40.5";"1"
"CIV";"C̫te d'Ivoire";"1986";"38";"1"
"CIV";"C̫te d'Ivoire";"1985";"45.5";"1"
"CPV";"Cabo Verde";"2007";"47.2";"1"
"CPV";"Cabo Verde";"2001";"52.5";"1"
"CMR";"Cameroon";"2014";"46.6";"1"
"CMR";"Cameroon";"2007";"42.8";"1"
"CMR";"Cameroon";"2001";"42.1";"1"
"CMR";"Cameroon";"1996";"44.4";"1"
"CAN";"Canada";"2013";"34";"5"
"CAN";"Canada";"2010";"33.6";"5"
"CAN";"Canada";"2007";"33.8";"5"
"CAN";"Canada";"2004";"33.7";"5"
"CAN";"Canada";"2000";"33.3";"5"
"CAN";"Canada";"1998";"33.2";"5"
"CAN";"Canada";"1997";"31.6";"5"
"CAN";"Canada";"1994";"31.3";"5"
"CAN";"Canada";"1991";"31";"5"
"CAN";"Canada";"1987";"31.5";"5"
"CAN";"Canada";"1981";"32.4";"5"
"CAF";"Central African Republic";"2008";"56.2";"1"
"CAF";"Central African Republic";"2003";"43.6";"1"
"CAF";"Central African Republic";"1992";"61.3";"2"
"TCD";"Chad";"2011";"43.3";"1"
"TCD";"Chad";"2003";"39.8";"1"
"CHL";"Chile";"2015";"47.7";"5"
"CHL";"Chile";"2013";"47.3";"5"
"CHL";"Chile";"2011";"47.6";"5"
"CHL";"Chile";"2009";"49";"5"
"CHL";"Chile";"2006";"48.2";"5"
"CHL";"Chile";"2003";"51.5";"5"
"CHL";"Chile";"2000";"52.8";"5"
"CHL";"Chile";"1998";"55.5";"5"
"CHL";"Chile";"1996";"54.9";"5"
"CHL";"Chile";"1994";"56.4";"5"
"CHL";"Chile";"1992";"54.8";"5"
"CHL";"Chile";"1990";"57.2";"5"
"CHL";"Chile";"1987";"56.2";"5"
"CHN";"China";"2012";"42.2";"7"
"CHN";"China";"2008";"42.8";"7"
"COL";"Colombia";"2016";"50.8";"5"
"COL";"Colombia";"2015";"51.1";"5"
"COL";"Colombia";"2014";"52.8";"5"
"COL";"Colombia";"2013";"52.9";"5"
"COL";"Colombia";"2012";"52.9";"5"
"COL";"Colombia";"2011";"53.6";"5"
"COL";"Colombia";"2010";"54.8";"5"
"COL";"Colombia";"2009";"54.5";"5"
"COL";"Colombia";"2008";"55.4";"5"
"COL";"Colombia";"2005";"53.7";"5"
"COL";"Colombia";"2004";"54.8";"5"
"COL";"Colombia";"2003";"53.4";"5"
"COL";"Colombia";"2002";"55.8";"5"
"COL";"Colombia";"2001";"57.2";"5"
"COL";"Colombia";"2000";"58.7";"5"
"COL";"Colombia";"1999";"58.7";"5"
"COL";"Colombia";"1996";"56.9";"5"
"COL";"Colombia";"1992";"51.5";"5"
"COM";"Comoros";"2013";"45.3";"1"
"COM";"Comoros";"2004";"55.9";"1"
"COG";"Congo";"2011";"48.9";"1"
"COG";"Congo";"2005";"47.3";"1"
"CRI";"Costa Rica";"2016";"48.7";"5"
"CRI";"Costa Rica";"2015";"48.4";"5"
"CRI";"Costa Rica";"2014";"48.6";"5"
"CRI";"Costa Rica";"2013";"49.3";"5"
"CRI";"Costa Rica";"2012";"48.6";"5"
"CRI";"Costa Rica";"2011";"48.7";"5"
"CRI";"Costa Rica";"2010";"48.2";"5"
"CRI";"Costa Rica";"2009";"50.6";"5"
"CRI";"Costa Rica";"2008";"48.7";"5"
"CRI";"Costa Rica";"2007";"49.3";"5"
"CRI";"Costa Rica";"2006";"49.4";"5"
"CRI";"Costa Rica";"2005";"47.5";"5"
"CRI";"Costa Rica";"2004";"48.3";"5"
"CRI";"Costa Rica";"2003";"49.3";"5"
"CRI";"Costa Rica";"2002";"51.9";"5"
"CRI";"Costa Rica";"2001";"51.6";"5"
"CRI";"Costa Rica";"2000";"47.4";"5"
"CRI";"Costa Rica";"1999";"47.7";"5"
"CRI";"Costa Rica";"1998";"45.7";"5"
"CRI";"Costa Rica";"1997";"45.6";"5"
"CRI";"Costa Rica";"1996";"46.5";"5"
"CRI";"Costa Rica";"1995";"45.7";"5"
"CRI";"Costa Rica";"1994";"46.8";"5"
"CRI";"Costa Rica";"1993";"46";"5"
"CRI";"Costa Rica";"1992";"45.7";"5"
"CRI";"Costa Rica";"1991";"46.6";"5"
"CRI";"Costa Rica";"1990";"45.3";"5"
"CRI";"Costa Rica";"1989";"46.7";"5"
"CRI";"Costa Rica";"1986";"34.4";"6"
"CRI";"Costa Rica";"1981";"47.5";"6"
"HRV";"Croatia";"2015";"30.8";"5"
"HRV";"Croatia";"2014";"32.1";"5"
"HRV";"Croatia";"2013";"32";"5"
"HRV";"Croatia";"2012";"32.5";"5"
"HRV";"Croatia";"2011";"32.3";"5"
"HRV";"Croatia";"2010";"32.4";"5"
"HRV";"Croatia";"2009";"32.6";"5"
"HRV";"Croatia";"1988";"22.8";"6"
"CYP";"Cyprus";"2015";"34";"5"
"CYP";"Cyprus";"2014";"35.6";"5"
"CYP";"Cyprus";"2013";"37";"5"
"CYP";"Cyprus";"2012";"34.3";"5"
"CYP";"Cyprus";"2011";"32.6";"5"
"CYP";"Cyprus";"2010";"31.5";"5"
"CYP";"Cyprus";"2009";"32.1";"5"
"CYP";"Cyprus";"2008";"31.7";"5"
"CYP";"Cyprus";"2007";"31.1";"5"
"CYP";"Cyprus";"2006";"31.1";"5"
