_RAJ2000	_DEJ2000	GCVS	magMax	l_magMin	magMin	magCode	Period	SpType	HIP
261.7976339226	-61.0880263621	EP    Ara	13.50	<	16.5	P	242.20	                 	 85407
249.3713874375	-52.9426833983	LO    Ara	11.60	<	13.5	P	282.00	                 	
265.2525303603	-53.5274550617	V0639 Ara	11.20	 	16.0	P	314.60	Me               	 86532
 34.0296364476	+25.0565683233	R     Ari	 7.40	 	13.7	V	186.78	M3e-M6e          	 10576
 31.1547856314	+12.5282537657	S     Ari	 9.80	 	15.8	V	292.15	M4e-M6.5e        	
 47.7626581851	+14.8000699790	U     Ari	 7.20	 	15.2	V	371.13	M4e-M9.5e        	
 47.0509338900	+26.9889987500	Z     Ari	11.00	<	14.0	P	339.09	M5               	
 41.1879027300	+12.3200257300	RU    Ari	11.40	<	15.2	P	353.50	M10              	
 79.3237074854	+53.5861213282	R     Aur	 6.70	 	13.9	V	457.51	M6.5e-M9.5e      	 24645
 85.5512107152	+32.0542430742	U     Aur	 7.50	 	15.5	V	408.09	M7e-M9e          	
 96.0097460947	+47.7066319479	V     Aur	 8.50	 	13.0	V	353.00	C6,2e(N3e)       	 30449
 81.7652126197	+36.9110278379	W     Aur	 8.00	 	15.3	V	274.27	M3e-M8e          	
 93.0557674816	+50.2279000712	X     Aur	 8.00	 	13.6	V	163.79	M3e-M7e          	 29441
 93.0096538025	+43.1975093693	RR    Aur	 8.20	 	15.0	V	307.87	M3e-M7e          	
 85.0328832801	+37.6362865397	RU    Aur	 9.00	 	16.0	V	466.47	M7e-M9e          	 26675
 69.5002123517	+31.3403235001	SW    Aur	13.30	 	17.0	P	309.85	                 	
 85.4832518717	+38.9335884444	SZ    Aur	10.20	 	14.8	P	454.04	M8e              	
 80.4538592637	+32.5110495994	UV    Aur	 7.40	 	10.6	V	394.42	C6,2-C8,2Jep(Ne) 	
112.1270174491	+40.9703856805	VX    Aur	 9.60	<	12.5	P	322.25	M4e-M6           	 36314
 92.4416016535	+46.5382036587	VY    Aur	11.80	<	14.8	P	402.10	                 	
 81.7678164385	+50.1244737661	AC    Aur	10.20	 	14.8	P	311.00	M5e              	
 73.5625026176	+49.9000917012	AU    Aur	13.00	 	15.8	P	400.00	C6-7,3e(N0e)     	 22796
 85.0043210400	+28.7147432600	AW    Aur	12.00	<	16.0	P	695.00	M5-M9            	
 89.0515631437	+32.1514527211	AY    Aur	12.00	<	15.5	P	186.80	M6               	
 90.2286329687	+39.6824013924	AZ    Aur	10.50	<	17.7	B	415.92	C7,1e-C8,2-3(N0e)	
 88.5932289280	+31.4034895382	BN    Aur	13.60	 	18.5	P	136.00	                 	
 91.1336229527	+29.8292956494	BT    Aur	13.00	 	18.5	P	560.00	M8:              	
 77.6378320785	+32.1386447025	DT    Aur	13.30	 	17.6	P	169.00	                 	
 73.3149268452	+41.8158625208	EY    Aur	11.50	 	14.4	P	270.00	M6               	
 88.7456420953	+40.5711581874	GN    Aur	14.00	<	15.5	P	253.00	                 	
 96.5440785603	+50.4393428254	GO    Aur	10.70	<	13.0	P	294.96	                 	
 85.1235224250	+46.8948641200	GU    Aur	13.10	<	15.0	P	217.00	                 	
109.2010831524	+39.6501384132	HT    Aur	11.50	<	13.0	P	297.00	                 	
219.2982393886	+26.7365731076	R     Boo	 6.20	 	13.1	V	223.40	M3e-M8e          	 71490
215.7205194240	+53.8103685899	S     Boo	 7.80	 	13.8	V	270.73	M3e-M6e          	 70291
211.6231756428	+13.4848384072	Z     Boo	 8.20	 	15.0	V	281.14	M5e-M6e          	
221.7741094023	+39.3170756194	RR    Boo	 8.30	 	13.9	V	194.70	M2e-M6e          	 72300
229.3112891032	+36.3592847239	RT    Boo	 8.30	 	13.9	V	273.86	M6.5e-M8e        	 74802
218.3679144317	+17.6129666875	CO    Boo	12.50	<	13.5	P	279.00	                 	
 70.1253600533	-38.2352640928	R     Cae	 6.70	 	13.7	V	390.95	M6e              	 21766
214.4625980868	+83.8316216032	R     Cam	 6.97	 	14.4	V	270.22	S2,8e-S8,7e      	
 70.0369365476	+66.1468370892	T     Cam	 7.30	 	14.4	V	373.20	S4,7e-S8.5,8e    	
 90.6345345072	+74.5075532394	V     Cam	 7.70	 	16.0	V	522.45	M7e              	
 71.4258135325	+75.1009712036	X     Cam	 7.40	 	14.2	V	143.56	K8-M8e           	 22127
 98.8306685044	+64.0927415346	RT    Cam	10.20	<	14.0	P	366.31	M6e              	
 99.4096980363	+73.8898383369	SU    Cam	 8.90	 	12.6	V	285.03	M5               	
214.7604145776	+81.0544556874	UZ    Cam	12.40	<	14.5	P	225.64	M3               	
 69.9172987075	+79.1700553369	WY    Cam	11.40	<	15.1	P	406.96	S2e              	
124.1409422219	+11.7262404658	R     Cnc	 6.07	 	11.8	V	361.60	M6e-M9e          	 40534
128.9424439924	+18.8971590474	U     Cnc	 8.50	 	15.5	V	304.78	M2e              	
125.4287636226	+17.2852928278	V     Cnc	 7.50	 	13.9	V	272.13	S0e-S7,9e        	 40977
137.4692297286	+25.2482776118	W     Cnc	 7.40	 	14.4	V	393.22	M6.5e-M9e        	 44995
122.7631039409	+23.1484624724	RR    Cnc	 9.80	 	15.0	P	298.26	M3e              	
125.3757757380	+14.0438221493	SZ    Cnc	10.20	 	15.1	P	319.15	M2               	
123.5781775306	+08.5735075322	TV    Cnc	10.60	 	13.6	P	366.70	M7               	 40351
207.2376732251	+39.5425482289	R     CVn	 6.50	 	12.9	V	328.53	M5.5e-M9e        	 67410
187.5516813774	+31.5033501751	T     CVn	 7.60	 	12.6	V	290.09	M6.5e            	 61009
191.8677442733	+38.3999303378	U     CVn	 8.80	<	12.5	P	345.65	M7e              	
207.1777485750	+33.6844206000	RT    CVn	12.00	 	16.0	P	253.60	M5e              	
100.9196050138	-31.7823668276	V     CMa	10.30	 	13.3	P	242.54	Me               	
105.3579464413	-19.0340000533	SU    CMa	10.00	<	12.9	V	248.00	M6.5             	
107.6064071221	-19.8322997907	SY    CMa	10.40	 	14.3	P	220.00	M4-6             	
 94.5510099751	-16.4550809756	TY    CMa	11.50	<	14.0	P	228.00	                 	
105.6614785135	-23.8716205174	BI    CMa	13.50	<	15.5	P	131.00	M5e              	
107.1775498037	+10.0240198687	R     CMi	 7.25	 	11.6	V	337.78	C7,1Je(CSep)     	 34474
113.1794582639	+08.3181013308	S     CMi	 6.60	 	13.2	V	332.94	M6e-M8e          	 36675
113.5017459082	+11.7370581053	T     CMi	 9.50	 	15.1	V	328.30	M4Se-M8          	
115.3334587117	+08.3802979281	U     CMi	 8.00	 	14.0	V	413.88	M4e              	 37459
106.7320702844	+08.8601149664	V     CMi	 7.40	 	15.1	V	366.10	M4e-M10          	
116.3120422200	+01.2110697000	UW    CMi	13.70	<	16.4	P	340.00	                 	
117.8448783750	+03.5427771483	VV    CMi	11.60	<	19.0	P	334.00	                 	
118.5508810436	+01.8030377778	VX    CMi	11.80	<	16.4	P	272.70	Me               	
107.8117922948	+04.0981609836	WW    CMi	13.00	<	15.5	P	176.40	                 	
107.9466433254	+07.4753348832	WX    CMi	11.00	 	15.8	P	420.10	Se               	
109.0374696019	+03.6701987592	WY    CMi	13.00	 	16.0	P	274.00	                 	
109.6933874513	+02.7455332143	WZ    CMi	13.00	<	15.5	P	316.00	                 	
320.5034282230	-15.1592053436	T     Cap	 8.40	 	14.3	V	269.28	M2e-M8.2         	105498
316.9027365156	-23.9203873075	V     Cap	 8.20	 	14.4	V	275.72	M5e-M8.2         	104285
303.6432713308	-22.0377283669	W     Cap	11.00	 	15.0	V	209.67	M5e-M8.0         	
317.6563587963	-16.1736546876	Z     Cap	 8.60	 	15.0	V	181.48	M2e-M7.0         	
