RAJ2000	DEJ2000	HR	Name	HD	VarID	Vmag	B-V	SpType
#Sagittarius
220.482500	-47.388333	5469	   Alp Lup	129056	Alp Lup  	 2.30	-0.20	  B1.5III/Vn
228.071250	-52.099167	5649	   Zet Lup	134505	         	 3.41	 0.92	  G8III
229.633333	-47.875000	5683	   Mu  Lup	135734	         	 4.27	-0.08	  B8Ve
230.670417	-44.689444	5708	   Eps Lup	136504	Var?     	 3.37	-0.18	  B2IV-V
233.785417	-41.166944	5776	   Gam Lup	138690	         	 2.78	-0.20	  B2IV
240.030417	-38.396944	5948	   Eta Lup	143118	         	 3.41	-0.22	  B2.5IV
230.451667	-36.261389	5705	   Phi1Lup	136422	         	 3.56	 1.54	  K5III
237.739583	-33.627222	5883	  5Chi Lup	141556	         	 3.95	-0.04	  B9IV
240.030417	-38.396944	5948	   Eta Lup	143118	         	 3.41	-0.22	  B2.5IV
228.071250	-52.099167	5649	   Zet Lup	134505	         	 3.41	 0.92	  G8III
								
233.785417	-41.166944	5776	   Gam Lup	138690	         	 2.78	-0.20	  B2IV
230.342917	-40.647500	5695	   Del Lup	136298	Del Lup  	 3.22	-0.22	  B1.5IV
224.632917	-43.133889	5571	   Bet Lup	132058	         	 2.68	-0.22	  B2III/IV
								
#Norma
241.622500	-45.173333	5980	   Del Nor	144197	         	 4.72	 0.23	  Am
240.803750	-49.229722	5962	   Eta Nor	143546	         	 4.65	 0.92	  G8III
244.253750	-50.068333	6058	   Gam1Nor	146143	         	 4.99	 0.80	  F9Ia
244.960000	-50.155556	6072	   Gam2Nor	146686	         	 4.02	 1.08	  G8III
246.796250	-47.555000	6115	   Eps Nor	147971	         	 4.47	-0.07	  B4V
241.622500	-45.173333	5980	   Del Nor	144197	         	 4.72	 0.23	  Am
								
#Andromeda
354.534167	43.268056	8965	17Iot And	222173	14646	4.29	-0.1	B8V
345.480417	42.326111	8762	1Omi And	217675	Omi And	3.62	-0.09	B6IIIpe+A2p
354.534167	43.268056	8965	17Iot And	222173	14646	4.29	-0.1	B8V
4.582083	36.785278	68	25Sig And	1404	118	4.52	0.05	A2V
9.832083	30.860833	165	31Del And	3627	NA	3.27	1.28	K3III
2.097083	29.090556	15	21Alp And	358	Alp And	2.06	-0.11	B8IVpMnHg
9.832083	30.860833	165	31Del And	3627	NA	3.27	1.28	K3III
9.63875	29.311667	163	30Eps And	3546	NA	4.37	0.87	G6IIIFe-3CH1
11.834583	24.267222	215	34Zet And	4502	Zet And	4.06	1.12	K1IIe
9.63875	29.311667	163	30Eps And	3546	NA	4.37	0.87	G6IIIFe-3CH1
9.832083	30.860833	165	31Del And	3627	NA	3.27	1.28	K3III
17.432917	35.620556	337	43Bet And	6860	414	2.06	1.58	M0+IIIa
30.975	42.329722	603	57Gam1And	12533	NA	2.26	1.37	K3-IIb
17.432917	35.620556	337	43Bet And	6860	414	2.06	1.58	M0+IIIa
24.498333	48.628333	464	51    And	9927	NA	3.57	1.28	K3-III
17.432917	35.620556	337	43Bet And	6860	414	2.06	1.58	M0+IIIa
14.188333	38.499444	269	37Mu  And	5448	NA	3.87	0.13	A5V
12.453333	41.078889	226	35Nu  And	4727	NA	4.53	-0.15	B5V+F8V
								
#Ara
271.657917	-50.091667	6743	The Ara	165024	NA	3.66	-0.08	B2Ib
262.960417	-49.876111	6510	Alp Ara	158427	8999	2.95	-0.17	B2Vne
261.325	-55.53	6461	Bet Ara	157244	NA	2.85	1.46	K3Ib-IIa
261.348333	-56.3775	6462	Gam Ara	157246	NA	3.34	-0.13	B1Ib
262.774583	-60.683889	6500	Del Ara	158094	NA	3.62	-0.1	B8Vn
261.348333	-56.3775	6462	Gam Ara	157246	NA	3.34	-0.13	B1Ib
254.655	-55.990278	6285	Zet Ara	152786	NA	3.13	1.6	K3III
252.44625	-59.041389	6229	Eta Ara	151249	NA	3.76	1.57	K5III
254.655	-55.990278	6285	Zet Ara	152786	NA	3.13	1.6	K3III
254.89625	-53.160556	6295	Eps1Ara	152980	NA	4.06	1.45	K4IIIab
262.960417	-49.876111	6510	Alp Ara	158427	8999	2.95	-0.17	B2Vne
								
#Canis Major
104.034167	-17.054167	2596	20Iot CMa	51309	Iot CMa	4.37	-0.07	B3II
103.5475	-12.038611	2574	14The CMa	50778	NA	4.07	1.43	K4III
105.939583	-15.633333	2657	23Gam CMa	53244	NA	4.12	-0.12	B8II
104.034167	-17.054167	2596	20Iot CMa	51309	Iot CMa	4.37	-0.07	B3II
101.287083	-16.716111	2491	9Alp CMa	48915	NA	-1.46	0	A1Vm
95.675	-17.955833	2294	2Bet CMa	44743	Bet CMa	1.98	-0.23	B1II-III
99.170833	-19.255833	2429	7Nu 2CMa	47205	3047	3.95	1.06	K1III
103.532917	-24.183889	2580	16Omi1CMa	50877	Omi1 CMa	3.87	1.73	K2+Iab
104.65625	-28.972222	2618	21Eps CMa	52089	NA	1.5	-0.21	B2II
105.429583	-27.934722	2646	22Sig CMa	52877	Sig CMa	3.47	1.73	K7Ib
107.097917	-26.393333	2693	25Del CMa	54605	3424	1.84	0.68	F8Ia
111.02375	-29.303056	2827	31Eta CMa	58350	NA	2.45	-0.08	B5Ia
107.097917	-26.393333	2693	25Del CMa	54605	3424	1.84	0.68	F8Ia
105.75625	-23.833333	2653	24Omi2CMa	53138	NA	3.02	-0.08	B3Iab
