RAJ2000	DEJ2000	tag
275.85417	-14.785	MW1
275.57083	-14.59	MW1
275.625	-14.62389	MW1
275.69583	-14.63333	MW1
274.12083	-13.78	MW1
273.26667	-13.33083	MW1
271.45833	-12.33722	MW1
271.9875	-12.62667	MW1
271.35417	-12.22917	MW1
278.0125	-15.68833	MW1
279.525	-16.38333	MW1
275.32917	-14.28667	MW1
275.56667	-14.38056	MW1
277.3625	-15.28694	MW1
276.41667	-14.755	MW1
274.76667	-13.89194	MW1
256.875	-3.74139	MW1
274.70417	-13.79167	MW1
276.34167	-14.6475	MW1
276.88333	-14.86667	MW1
274.62083	-13.70528	MW1
277.64167	-15.2525	MW1
251.04583	0.135	MW1
264.5	-8.11167	MW1
274.47917	-13.58333	MW1
275.0375	-13.84972	MW1
280.75417	-16.66611	MW1
275.00417	-13.75167	MW1
272.7125	-12.53111	MW1
273.525	-12.96917	MW1
277.6	-15.06306	MW1
274.29583	-13.35278	MW1
274.78333	-13.60806	MW1
277.00833	-14.725	MW1
275.45417	-13.88667	MW1
256.84583	-3.33556	MW1
275.2375	-13.67917	MW1
275.2125	-13.64778	MW1
276.38333	-14.23722	MW1
277.99167	-15.02944	MW1
270.8625	-11.29611	MW1
275.40833	-13.67306	MW1
285.55417	-18.55	MW1
278.6125	-15.2525	MW1
277.82083	-14.84194	MW1
278.1875	-15.02833	MW1
278.8625	-15.35417	MW1
275.82917	-13.66722	MW1
276.74167	-14.10333	MW1
276.51667	-13.99167	MW1
276.52917	-13.95667	MW1
278.3375	-14.8325	MW1
278.00833	-14.61389	MW1
272.16667	-11.50611	MW1
276.15	-13.50083	MW1
279.22917	-15.05556	MW1
273.98333	-12.37028	MW1
276.25833	-13.52278	MW1
279.15417	-14.94056	MW1
279.6375	-15.15944	MW1
276.175	-13.39444	MW1
276.01667	-13.32056	MW1
276.62083	-13.6125	MW1
279.74167	-15.135	MW1
274.6	-12.50167	MW1
273.77917	-12.05611	MW1
276.22917	-13.33444	MW1
276.2875	-13.33694	MW1
274.22083	-12.25139	MW1
